"","USPS","date","incidD","state"
"229","AK",2020-09-06,0,"Alaska"
"230","AK",2020-09-07,0,"Alaska"
"231","AK",2020-09-08,0,"Alaska"
"232","AK",2020-09-09,0,"Alaska"
"233","AK",2020-09-10,0,"Alaska"
"234","AK",2020-09-11,1,"Alaska"
"235","AK",2020-09-12,1,"Alaska"
"236","AK",2020-09-13,0,"Alaska"
"237","AK",2020-09-14,0,"Alaska"
"238","AK",2020-09-15,0,"Alaska"
"239","AK",2020-09-16,0,"Alaska"
"240","AK",2020-09-17,0,"Alaska"
"241","AK",2020-09-18,1,"Alaska"
"242","AK",2020-09-19,0,"Alaska"
"243","AK",2020-09-20,0,"Alaska"
"244","AK",2020-09-21,0,"Alaska"
"245","AK",2020-09-22,0,"Alaska"
"246","AK",2020-09-23,0,"Alaska"
"247","AK",2020-09-24,1,"Alaska"
"248","AK",2020-09-25,6,"Alaska"
"249","AK",2020-09-26,0,"Alaska"
"250","AK",2020-09-27,4,"Alaska"
"251","AK",2020-09-28,0,"Alaska"
"252","AK",2020-09-29,0,"Alaska"
"253","AK",2020-09-30,0,"Alaska"
"254","AK",2020-10-01,2,"Alaska"
"255","AK",2020-10-02,0,"Alaska"
"256","AK",2020-10-03,1,"Alaska"
"257","AK",2020-10-04,0,"Alaska"
"258","AK",2020-10-05,0,"Alaska"
"259","AK",2020-10-06,0,"Alaska"
"260","AK",2020-10-07,1,"Alaska"
"261","AK",2020-10-08,1,"Alaska"
"262","AK",2020-10-09,0,"Alaska"
"263","AK",2020-10-10,0,"Alaska"
"264","AK",2020-10-11,0,"Alaska"
"265","AK",2020-10-12,0,"Alaska"
"266","AK",2020-10-13,0,"Alaska"
"267","AK",2020-10-14,4,"Alaska"
"268","AK",2020-10-15,0,"Alaska"
"269","AK",2020-10-16,1,"Alaska"
"270","AK",2020-10-17,1,"Alaska"
"271","AK",2020-10-18,0,"Alaska"
"272","AK",2020-10-19,0,"Alaska"
"273","AK",2020-10-20,1,"Alaska"
"274","AK",2020-10-21,1,"Alaska"
"275","AK",2020-10-22,0,"Alaska"
"276","AK",2020-10-23,0,"Alaska"
"277","AK",2020-10-24,0,"Alaska"
"278","AK",2020-10-25,0,"Alaska"
"279","AK",2020-10-26,0,"Alaska"
"280","AK",2020-10-27,2,"Alaska"
"281","AK",2020-10-28,1,"Alaska"
"282","AK",2020-10-29,6,"Alaska"
"283","AK",2020-10-30,4,"Alaska"
"284","AK",2020-10-31,1,"Alaska"
"285","AK",2020-11-01,3,"Alaska"
"286","AK",2020-11-02,1,"Alaska"
"287","AK",2020-11-03,0,"Alaska"
"288","AK",2020-11-04,0,"Alaska"
"289","AK",2020-11-05,0,"Alaska"
"290","AK",2020-11-06,0,"Alaska"
"291","AK",2020-11-07,0,"Alaska"
"292","AK",2020-11-08,0,"Alaska"
"293","AK",2020-11-09,0,"Alaska"
"294","AK",2020-11-10,8,"Alaska"
"295","AK",2020-11-11,4,"Alaska"
"296","AK",2020-11-12,0,"Alaska"
"297","AK",2020-11-13,1,"Alaska"
"298","AK",2020-11-14,1,"Alaska"
"299","AK",2020-11-15,0,"Alaska"
"300","AK",2020-11-16,0,"Alaska"
"301","AK",2020-11-17,2,"Alaska"
"302","AK",2020-11-18,0,"Alaska"
"303","AK",2020-11-19,1,"Alaska"
"304","AK",2020-11-20,0,"Alaska"
"305","AK",2020-11-21,0,"Alaska"
"306","AK",2020-11-22,2,"Alaska"
"307","AK",2020-11-23,0,"Alaska"
"308","AK",2020-11-24,13,"Alaska"
"309","AK",2020-11-25,0,"Alaska"
