start_date,date,incidD,state,USPS,source,datew
2022-11-27,2022-12-03,24,Alabama,AL,cdc,NA
2022-12-04,2022-12-10,30,Alabama,AL,cdc,NA
2022-12-11,2022-12-17,27,Alabama,AL,cdc,NA
2022-12-18,2022-12-24,11,Alabama,AL,cdc,NA
2022-12-25,2022-12-31,NA,Alabama,AL,cdc,NA
2019-12-29,2020-01-04,0,Alaska,AK,cdc,NA
2020-01-05,2020-01-11,0,Alaska,AK,cdc,NA
2020-01-12,2020-01-18,0,Alaska,AK,cdc,NA
2020-01-19,2020-01-25,0,Alaska,AK,cdc,NA
2020-01-26,2020-02-01,0,Alaska,AK,cdc,NA
2020-02-02,2020-02-08,0,Alaska,AK,cdc,NA
2020-02-09,2020-02-15,0,Alaska,AK,cdc,NA
2020-02-16,2020-02-22,0,Alaska,AK,cdc,NA
2020-02-23,2020-02-29,0,Alaska,AK,cdc,NA
2020-03-01,2020-03-07,0,Alaska,AK,cdc,NA
2020-03-08,2020-03-14,0,Alaska,AK,cdc,NA
2020-03-15,2020-03-21,0,Alaska,AK,cdc,NA
2020-03-22,2020-03-28,NA,Alaska,AK,cdc,NA
2020-03-29,2020-04-04,NA,Alaska,AK,cdc,NA
2020-04-05,2020-04-11,NA,Alaska,AK,cdc,NA
2020-04-12,2020-04-18,NA,Alaska,AK,cdc,NA
2020-04-19,2020-04-25,0,Alaska,AK,cdc,NA
2020-04-26,2020-05-02,0,Alaska,AK,cdc,NA
2020-05-03,2020-05-09,NA,Alaska,AK,cdc,NA
2020-05-10,2020-05-16,0,Alaska,AK,cdc,NA
2020-05-17,2020-05-23,0,Alaska,AK,cdc,NA
2020-05-24,2020-05-30,0,Alaska,AK,cdc,NA
2020-05-31,2020-06-06,0,Alaska,AK,cdc,NA
2020-06-07,2020-06-13,NA,Alaska,AK,cdc,NA
2020-06-14,2020-06-20,0,Alaska,AK,cdc,NA
2020-06-21,2020-06-27,0,Alaska,AK,cdc,NA
2020-06-28,2020-07-04,NA,Alaska,AK,cdc,NA
2020-07-05,2020-07-11,NA,Alaska,AK,cdc,NA
2020-07-12,2020-07-18,NA,Alaska,AK,cdc,NA
2020-07-19,2020-07-25,NA,Alaska,AK,cdc,NA
2020-07-26,2020-08-01,NA,Alaska,AK,cdc,NA
2020-08-02,2020-08-08,NA,Alaska,AK,cdc,NA
2020-08-09,2020-08-15,NA,Alaska,AK,cdc,NA
2020-08-16,2020-08-22,NA,Alaska,AK,cdc,NA
2020-08-23,2020-08-29,NA,Alaska,AK,cdc,NA
2020-08-30,2020-09-05,NA,Alaska,AK,cdc,NA
2020-09-06,2020-09-12,NA,Alaska,AK,cdc,NA
2020-09-13,2020-09-19,NA,Alaska,AK,cdc,NA
2020-09-20,2020-09-26,NA,Alaska,AK,cdc,NA
2020-09-27,2020-10-03,NA,Alaska,AK,cdc,NA
2020-10-04,2020-10-10,NA,Alaska,AK,cdc,NA
2020-10-11,2020-10-17,10,Alaska,AK,cdc,NA
2020-10-18,2020-10-24,NA,Alaska,AK,cdc,NA
2020-10-25,2020-10-31,10,Alaska,AK,cdc,NA
2020-11-01,2020-11-07,NA,Alaska,AK,cdc,NA
2020-11-08,2020-11-14,16,Alaska,AK,cdc,NA
2020-11-15,2020-11-21,15,Alaska,AK,cdc,NA
2020-11-22,2020-11-28,21,Alaska,AK,cdc,NA
2020-11-29,2020-12-05,31,Alaska,AK,cdc,NA
2020-12-06,2020-12-12,24,Alaska,AK,cdc,NA
2020-12-13,2020-12-19,20,Alaska,AK,cdc,NA
2020-12-20,2020-12-26,24,Alaska,AK,cdc,NA
2020-12-27,2021-01-02,10,Alaska,AK,cdc,NA
2021-01-03,2021-01-09,13,Alaska,AK,cdc,NA
2021-01-10,2021-01-16,NA,Alaska,AK,cdc,NA
2021-01-17,2021-01-23,NA,Alaska,AK,cdc,NA
2021-01-24,2021-01-30,NA,Alaska,AK,cdc,NA
2021-01-31,2021-02-06,NA,Alaska,AK,cdc,NA
2021-02-07,2021-02-13,NA,Alaska,AK,cdc,NA
2021-02-14,2021-02-20,NA,Alaska,AK,cdc,NA
2021-02-21,2021-02-27,NA,Alaska,AK,cdc,NA
2021-02-28,2021-03-06,NA,Alaska,AK,cdc,NA
2021-03-07,2021-03-13,NA,Alaska,AK,cdc,NA
2021-03-14,2021-03-20,NA,Alaska,AK,cdc,NA
2021-03-21,2021-03-27,NA,Alaska,AK,cdc,NA
2021-03-28,2021-04-03,NA,Alaska,AK,cdc,NA
2021-04-04,2021-04-10,NA,Alaska,AK,cdc,NA
2021-04-11,2021-04-17,NA,Alaska,AK,cdc,NA
2021-04-18,2021-04-24,NA,Alaska,AK,cdc,NA
2021-04-25,2021-05-01,NA,Alaska,AK,cdc,NA
2021-05-02,2021-05-08,13,Alaska,AK,cdc,NA
2021-05-09,2021-05-15,10,Alaska,AK,cdc,NA
2021-05-16,2021-05-22,NA,Alaska,AK,cdc,NA
2021-05-23,2021-05-29,NA,Alaska,AK,cdc,NA
2021-05-30,2021-06-05,NA,Alaska,AK,cdc,NA
2021-06-06,2021-06-12,NA,Alaska,AK,cdc,NA
2021-06-13,2021-06-19,NA,Alaska,AK,cdc,NA
2021-06-20,2021-06-26,NA,Alaska,AK,cdc,NA
2021-06-27,2021-07-03,NA,Alaska,AK,cdc,NA
2021-07-04,2021-07-10,NA,Alaska,AK,cdc,NA
2021-07-11,2021-07-17,0,Alaska,AK,cdc,NA
2021-07-18,2021-07-24,NA,Alaska,AK,cdc,NA
2021-07-25,2021-07-31,16,Alaska,AK,cdc,NA
2021-08-01,2021-08-07,26,Alaska,AK,cdc,NA
2021-08-08,2021-08-14,23,Alaska,AK,cdc,NA
2021-08-15,2021-08-21,23,Alaska,AK,cdc,NA
2021-08-22,2021-08-28,22,Alaska,AK,cdc,NA
2021-08-29,2021-09-04,38,Alaska,AK,cdc,NA
2021-09-05,2021-09-11,31,Alaska,AK,cdc,NA
2021-09-12,2021-09-18,42,Alaska,AK,cdc,NA
2021-09-19,2021-09-25,55,Alaska,AK,cdc,NA
2021-09-26,2021-10-02,57,Alaska,AK,cdc,NA
2021-10-03,2021-10-09,43,Alaska,AK,cdc,NA
2021-10-10,2021-10-16,44,Alaska,AK,cdc,NA
2021-10-17,2021-10-23,50,Alaska,AK,cdc,NA
2021-10-24,2021-10-30,59,Alaska,AK,cdc,NA
2021-10-31,2021-11-06,38,Alaska,AK,cdc,NA
2021-11-07,2021-11-13,25,Alaska,AK,cdc,NA
2021-11-14,2021-11-20,25,Alaska,AK,cdc,NA
2021-11-21,2021-11-27,29,Alaska,AK,cdc,NA
2021-11-28,2021-12-04,17,Alaska,AK,cdc,NA
2021-12-05,2021-12-11,17,Alaska,AK,cdc,NA
2021-12-12,2021-12-18,NA,Alaska,AK,cdc,NA
2021-12-19,2021-12-25,10,Alaska,AK,cdc,NA
2021-12-26,2022-01-01,NA,Alaska,AK,cdc,NA
2022-01-02,2022-01-08,15,Alaska,AK,cdc,NA
2022-01-09,2022-01-15,13,Alaska,AK,cdc,NA
2022-01-16,2022-01-22,17,Alaska,AK,cdc,NA
2022-01-23,2022-01-29,20,Alaska,AK,cdc,NA
2022-01-30,2022-02-05,15,Alaska,AK,cdc,NA
2022-02-06,2022-02-12,25,Alaska,AK,cdc,NA
2022-02-13,2022-02-19,22,Alaska,AK,cdc,NA
2022-02-20,2022-02-26,15,Alaska,AK,cdc,NA
2022-02-27,2022-03-05,16,Alaska,AK,cdc,NA
2022-03-06,2022-03-12,NA,Alaska,AK,cdc,NA
2022-03-13,2022-03-19,NA,Alaska,AK,cdc,NA
2022-03-20,2022-03-26,NA,Alaska,AK,cdc,NA
2022-03-27,2022-04-02,NA,Alaska,AK,cdc,NA
2022-04-03,2022-04-09,NA,Alaska,AK,cdc,NA
