incidD,state,date,USPS,Gold_Standard
516,Virginia,2/26/2022,VA,0
515,California,5/16/2020,CA,0
514,Florida,4/3/2021,FL,0
514,New Jersey,6/13/2020,NJ,0
514,New York,4/17/2021,NY,0
513,California,5/9/2020,CA,0
511,Pennsylvania,10/16/2021,PA,0
510,Texas,4/10/2021,TX,0
509,Florida,11/28/2020,FL,0
509,Michigan,1/16/2021,MI,0
508,New Jersey,2/6/2021,NJ,0
505,New York,2/19/2022,NY,0
504,Ohio,2/6/2021,OH,0
503,Massachusetts,1/29/2022,MA,0
503,North Carolina,2/5/2022,NC,0
503,Tennessee,2/13/2021,TN,0
502,Ohio,10/30/2021,OH,0
501,Indiana,1/22/2022,IN,0
500,North Carolina,10/9/2021,NC,0
498,California,5/2/2020,CA,0
498,California,5/23/2020,CA,0
498,Florida,10/24/2020,FL,0
497,North Carolina,10/2/2021,NC,0
496,Colorado,4/4/2020,CO,1
496,Michigan,11/21/2020,MI,0
495,California,1/8/2022,CA,0
495,Florida,7/11/2020,FL,0
495,Indiana,11/28/2020,IN,0
495,Pennsylvania,2/20/2021,PA,0
495,Tennessee,12/12/2020,TN,0
494,Connecticut,5/9/2020,CT,0
494,Texas,10/24/2020,TX,0
493,Arizona,12/18/2021,AZ,0
493,North Carolina,9/25/2021,NC,0
493,Tennessee,2/26/2022,TN,0
491,New York,4/10/2021,NY,0
490,South Carolina,10/2/2021,SC,0
489,Arizona,1/22/2022,AZ,0
488,California,8/21/2021,CA,0
488,Florida,3/20/2021,FL,0
488,Michigan,5/1/2021,MI,0
488,Texas,3/19/2022,TX,0
487,Arizona,12/26/2020,AZ,0
487,Arizona,2/27/2021,AZ,0
484,Ohio,11/14/2020,OH,0
484,Pennsylvania,11/6/2021,PA,0
483,North Carolina,2/19/2022,NC,0
482,Colorado,11/28/2020,CO,0
482,Massachusetts,1/9/2021,MA,0
482,Pennsylvania,2/19/2022,PA,0
481,Georgia,1/9/2021,GA,0
481,Michigan,5/8/2021,MI,0
481,North Carolina,9/3/2022,NC,1
479,California,5/1/2021,CA,0
477,New Jersey,2/13/2021,NJ,0
476,Kansas,10/1/2022,KS,1
476,Michigan,2/26/2022,MI,0
475,Georgia,8/15/2020,GA,0
473,New Jersey,6/6/2020,NJ,0
473,Texas,12/18/2021,TX,0
472,Michigan,4/24/2021,MI,0
472,Wisconsin,12/5/2020,WI,0
470,Georgia,8/29/2020,GA,0
469,Louisiana,4/18/2020,LA,0
468,Arizona,12/25/2021,AZ,0
466,California,6/6/2020,CA,0
466,Indiana,1/23/2021,IN,0
466,Pennsylvania,11/28/2020,PA,0
466,South Carolina,9/18/2021,SC,0
466,South Carolina,9/25/2021,SC,0
465,Massachusetts,4/11/2020,MA,0
464,Arizona,12/11/2021,AZ,0
462,Massachusetts,5/30/2020,MA,0
461,Illinois,2/6/2021,IL,0
460,Arizona,8/1/2020,AZ,0
459,California,11/21/2020,CA,0
458,Ohio,11/20/2021,OH,0
458,Pennsylvania,11/13/2021,PA,0
457,Iowa,2/6/2021,IA,1
456,Arizona,3/19/2022,AZ,0
456,Tennessee,1/22/2022,TN,0
455,California,12/11/2021,CA,0
455,Colorado,12/5/2020,CO,0
455,Florida,5/8/2021,FL,0
454,New York,6/13/2020,NY,0
454,Tennessee,12/4/2021,TN,0
452,Michigan,4/4/2020,MI,0
451,California,7/4/2020,CA,0
451,Illinois,1/1/2022,IL,0
451,Pennsylvania,10/30/2021,PA,0
451,Tennessee,1/23/2021,TN,0
450,California,12/18/2021,CA,0
450,Illinois,11/7/2020,IL,0
448,Indiana,11/21/2020,IN,0
447,Alabama,10/2/2021,AL,0
447,California,6/13/2020,CA,0
446,Massachusetts,1/22/2022,MA,0
445,Arizona,2/5/2022,AZ,0
445,California,11/27/2021,CA,0
445,North Carolina,2/20/2021,NC,0
444,California,10/10/2020,CA,0
444,Florida,11/21/2020,FL,0
444,Georgia,3/5/2022,GA,0
444,Virginia,3/13/2021,VA,0
442,New Jersey,12/19/2020,NJ,0
441,Louisiana,8/28/2021,LA,0
440,Kentucky,12/11/2021,KY,0
440,Minnesota,12/12/2020,MN,0
440,Texas,4/2/2022,TX,0
439,California,11/28/2020,CA,0
439,New Jersey,12/26/2020,NJ,0
437,Tennessee,2/5/2022,TN,0
436,Maryland,1/22/2022,MD,0
435,Maryland,1/29/2022,MD,0
435,Missouri,12/19/2020,MO,0
435,Nebraska,10/2/2021,NE,1
434,Illinois,4/11/2020,IL,0
434,Tennessee,9/18/2021,TN,0
432,Massachusetts,2/5/2022,MA,0
431,California,6/20/2020,CA,0
431,Illinois,2/26/2022,IL,0
429,Florida,3/27/2021,FL,0
429,Florida,5/1/2021,FL,0
428,Michigan,11/14/2020,MI,0
427,North Carolina,6/11/2022,NC,1
427,Tennessee,12/26/2020,TN,0
426,Alabama,1/9/2021,AL,0
426,New Jersey,12/12/2020,NJ,0
425,Illinois,6/13/2020,IL,0
424,Massachusetts,1/16/2021,MA,0
423,Florida,4/2/2022,FL,0
423,Indiana,5/2/2020,IN,1
423,Texas,1/1/2022,TX,0
422,Florida,7/2/2022,FL,0
421,Minnesota,12/19/2020,MN,0
421,Pennsylvania,10/9/2021,PA,0
420,Missouri,2/5/2022,MO,0
419,Colorado,11/21/2020,CO,0
419,Mississippi,2/5/2022,MS,0
416,Michigan,5/15/2021,MI,0
415,California,12/25/2021,CA,0
415,Maryland,5/2/2020,MD,0
415,Maryland,1/1/2022,MD,1
413,Arizona,4/9/2022,AZ,0
413,Georgia,8/22/2020,GA,0
413,Illinois,2/13/2021,IL,0
413,Pennsylvania,5/30/2020,PA,0
412,Florida,4/17/2021,FL,0
412,Massachusetts,1/2/2021,MA,0
412,Tennessee,1/1/2022,TN,0
411,Indiana,1/16/2021,IN,0
411,Maryland,1/15/2022,MD,0
411,Tennessee,1/29/2022,TN,0
410,Virginia,3/5/2022,VA,0
409,Massachusetts,1/23/2021,MA,0
409,Missouri,12/5/2020,MO,0
409,New York,12/18/2021,NY,0
408,Connecticut,5/16/2020,CT,0
408,South Carolina,3/12/2022,SC,1
407,Florida,4/24/2021,FL,0
406,California,4/24/2021,CA,0
406,Florida,4/23/2022,FL,0
406,Missouri,1/9/2021,MO,0
406,New York,4/24/2021,NY,0
406,Ohio,11/6/2021,OH,0
405,Texas,12/11/2021,TX,0
404,Indiana,2/12/2022,IN,0
404,Missouri,2/26/2022,MO,0
404,New Jersey,2/27/2021,NJ,0
404,New York,10/22/2022,NY,0
404,Pennsylvania,3/6/2021,PA,0
404,Wisconsin,11/21/2020,WI,0
403,Louisiana,1/23/2021,LA,0
402,Texas,7/4/2020,TX,0
401,North Carolina,1/29/2022,NC,0
401,Ohio,9/11/2021,OH,0
400,Florida,5/22/2021,FL,0
400,Louisiana,8/21/2021,LA,0
399,California,10/17/2020,CA,0
399,California,10/24/2020,CA,0
399,Ohio,2/19/2022,OH,0
399,Wisconsin,12/19/2020,WI,0
398,California,6/27/2020,CA,0
398,Minnesota,12/5/2020,MN,0
398,South Carolina,2/19/2022,SC,0
397,Arizona,12/12/2020,AZ,0
397,Michigan,11/27/2021,MI,0
396,Missouri,12/26/2020,MO,0
395,Missouri,1/22/2022,MO,0
395,New Jersey,2/5/2022,NJ,0
394,California,5/30/2020,CA,0
394,Georgia,11/6/2021,GA,0
394,New Jersey,2/20/2021,NJ,0
393,North Carolina,12/19/2020,NC,0
392,Georgia,3/12/2022,GA,0
392,New York,12/5/2020,NY,0
391,Arizona,8/8/2020,AZ,0
391,New Jersey,1/8/2022,NJ,0
391,New York,12/11/2021,NY,0
389,California,1/1/2022,CA,0
389,Kentucky,11/20/2021,KY,0
389,Louisiana,4/11/2020,LA,0
389,North Carolina,9/4/2021,NC,0
388,Florida,11/14/2020,FL,0
388,Georgia,9/5/2020,GA,0
387,Alabama,10/9/2021,AL,0
387,New York,12/25/2021,NY,0
387,Ohio,11/13/2021,OH,0
387,Wisconsin,12/12/2020,WI,0
386,Arizona,4/2/2022,AZ,0
386,Indiana,2/5/2022,IN,0
386,Ohio,11/7/2020,OH,0
385,Pennsylvania,6/6/2020,PA,0
382,Arizona,3/12/2022,AZ,0
381,Tennessee,4/9/2022,TN,0
380,Georgia,3/27/2021,GA,0
380,Missouri,2/6/2021,MO,0
377,Louisiana,4/25/2020,LA,0
376,Kansas,12/19/2020,KS,0
376,Michigan,4/17/2021,MI,0
375,Indiana,2/13/2021,IN,0
375,Texas,4/17/2021,TX,0
374,Pennsylvania,4/11/2020,PA,0
374,South Carolina,1/9/2021,SC,0
374,Virginia,1/30/2021,VA,0
373,Tennessee,2/12/2022,TN,0
372,Arizona,1/1/2022,AZ,0
372,Texas,8/7/2021,TX,0
371,Arkansas,10/16/2021,AR,1
371,Oklahoma,5/29/2021,OK,1
370,South Carolina,1/23/2021,SC,0
370,Virginia,1/23/2021,VA,0
369,Georgia,1/15/2022,GA,0
368,Indiana,2/19/2022,IN,0
368,Ohio,2/13/2021,OH,0
367,California,4/2/2022,CA,0
367,North Carolina,1/2/2021,NC,0
367,North Carolina,9/11/2021,NC,0
367,Pennsylvania,10/2/2021,PA,0
367,South Carolina,9/11/2021,SC,0
365,Florida,5/15/2021,FL,0
365,Mississippi,9/11/2021,MS,0
365,Nevada,4/16/2022,NV,1
364,Illinois,12/25/2021,IL,0
364,New York,5/1/2021,NY,0
364,Tennessee,12/5/2020,TN,0
364,Texas,3/26/2022,TX,0
363,Arizona,1/15/2022,AZ,0
362,Louisiana,9/18/2021,LA,0
361,Alabama,2/19/2022,AL,0
361,Michigan,10/30/2021,MI,0
361,Texas,4/24/2021,TX,0
360,Illinois,12/18/2021,IL,0
359,Michigan,3/5/2022,MI,0
359,Pennsylvania,2/27/2021,PA,0
358,Indiana,11/14/2020,IN,0
358,South Carolina,10/9/2021,SC,0
357,Florida,9/24/2022,FL,0
357,Indiana,12/18/2021,IN,0
357,New York,2/26/2022,NY,0
356,California,10/31/2020,CA,0
355,Colorado,11/14/2020,CO,0
354,Arizona,8/15/2020,AZ,0
354,Arizona,3/6/2021,AZ,0
354,Massachusetts,1/15/2022,MA,0
354,Texas,5/8/2021,TX,0
353,Maryland,5/16/2020,MD,0
353,Michigan,5/16/2020,MI,0
352,Arizona,10/23/2021,AZ,0
352,North Carolina,2/26/2022,NC,0
352,Washington,2/12/2022,WA,0
351,Alabama,3/12/2022,AL,0
351,Arizona,1/8/2022,AZ,0
351,Georgia,11/13/2021,GA,0
351,Michigan,3/12/2022,MI,0
351,Texas,5/1/2021,TX,0
349,Colorado,1/15/2022,CO,0
349,Florida,5/9/2020,FL,0
349,Louisiana,9/4/2021,LA,0
349,Louisiana,9/11/2021,LA,0
349,Massachusetts,2/12/2022,MA,0
349,Michigan,5/22/2021,MI,0
349,North Carolina,10/16/2021,NC,0
349,South Carolina,1/16/2021,SC,0
349,Wisconsin,12/25/2021,WI,0
348,Louisiana,11/21/2020,LA,1
348,Maryland,5/9/2020,MD,0
348,New York,5/8/2021,NY,0
347,Georgia,8/28/2021,GA,0
347,Michigan,1/30/2021,MI,0
347,Tennessee,10/2/2021,TN,0
347,Wisconsin,1/29/2022,WI,0
346,Alabama,2/20/2021,AL,0
345,Arizona,2/19/2022,AZ,0
345,Florida,10/31/2020,FL,0
