state,USPS,datew,incidH,date
Georgia,GA,2023-01-07,10501,2023-01-07
Georgia,GA,2023-01-14,10039,2023-01-14
Georgia,GA,2023-01-21,7969,2023-01-21
Georgia,GA,2023-01-28,7011,2023-01-28
Georgia,GA,2023-02-04,6343,2023-02-04
Georgia,GA,2023-02-11,5842,2023-02-11
Georgia,GA,2023-02-18,5270,2023-02-18
Georgia,GA,2023-02-25,4742,2023-02-25
Georgia,GA,2023-03-04,4024,2023-03-04
Georgia,GA,2023-03-11,3167,2023-03-11
Georgia,GA,2023-03-18,820,2023-03-18
Hawaii,HI,2020-01-04,0,2020-01-04
Hawaii,HI,2020-01-11,0,2020-01-11
Hawaii,HI,2020-01-18,0,2020-01-18
Hawaii,HI,2020-01-25,0,2020-01-25
Hawaii,HI,2020-02-01,0,2020-02-01
Hawaii,HI,2020-02-08,0,2020-02-08
Hawaii,HI,2020-02-15,0,2020-02-15
Hawaii,HI,2020-02-22,0,2020-02-22
Hawaii,HI,2020-02-29,0,2020-02-29
Hawaii,HI,2020-03-07,0,2020-03-07
Hawaii,HI,2020-03-14,0,2020-03-14
Hawaii,HI,2020-03-21,0,2020-03-21
Hawaii,HI,2020-03-28,0,2020-03-28
Hawaii,HI,2020-04-04,0,2020-04-04
Hawaii,HI,2020-04-11,0,2020-04-11
Hawaii,HI,2020-04-18,0,2020-04-18
Hawaii,HI,2020-04-25,0,2020-04-25
Hawaii,HI,2020-05-02,0,2020-05-02
Hawaii,HI,2020-05-09,0,2020-05-09
Hawaii,HI,2020-05-16,0,2020-05-16
Hawaii,HI,2020-05-23,0,2020-05-23
Hawaii,HI,2020-05-30,0,2020-05-30
Hawaii,HI,2020-06-06,0,2020-06-06
Hawaii,HI,2020-06-13,0,2020-06-13
Hawaii,HI,2020-06-20,0,2020-06-20
Hawaii,HI,2020-06-27,0,2020-06-27
Hawaii,HI,2020-07-04,0,2020-07-04
Hawaii,HI,2020-07-11,0,2020-07-11
Hawaii,HI,2020-07-18,85,2020-07-18
Hawaii,HI,2020-07-25,196,2020-07-25
Hawaii,HI,2020-08-01,374,2020-08-01
Hawaii,HI,2020-08-08,723,2020-08-08
Hawaii,HI,2020-08-15,1020,2020-08-15
Hawaii,HI,2020-08-22,1281,2020-08-22
Hawaii,HI,2020-08-29,1709,2020-08-29
Hawaii,HI,2020-09-05,1673,2020-09-05
Hawaii,HI,2020-09-12,1373,2020-09-12
Hawaii,HI,2020-09-19,1294,2020-09-19
Hawaii,HI,2020-09-26,1100,2020-09-26
Hawaii,HI,2020-10-03,944,2020-10-03
Hawaii,HI,2020-10-10,786,2020-10-10
Hawaii,HI,2020-10-17,730,2020-10-17
Hawaii,HI,2020-10-24,553,2020-10-24
Hawaii,HI,2020-10-31,439,2020-10-31
Hawaii,HI,2020-11-07,472,2020-11-07
Hawaii,HI,2020-11-14,496,2020-11-14
Hawaii,HI,2020-11-21,530,2020-11-21
Hawaii,HI,2020-11-28,432,2020-11-28
Hawaii,HI,2020-12-05,375,2020-12-05
Hawaii,HI,2020-12-12,345,2020-12-12
Hawaii,HI,2020-12-19,401,2020-12-19
Hawaii,HI,2020-12-26,486,2020-12-26
Hawaii,HI,2021-01-02,640,2021-01-02
Hawaii,HI,2021-01-09,826,2021-01-09
Hawaii,HI,2021-01-16,794,2021-01-16
Hawaii,HI,2021-01-23,749,2021-01-23
Hawaii,HI,2021-01-30,601,2021-01-30
Hawaii,HI,2021-02-06,487,2021-02-06
Hawaii,HI,2021-02-13,401,2021-02-13
Hawaii,HI,2021-02-20,294,2021-02-20
Hawaii,HI,2021-02-27,248,2021-02-27
Hawaii,HI,2021-03-06,201,2021-03-06
Hawaii,HI,2021-03-13,186,2021-03-13
Hawaii,HI,2021-03-20,165,2021-03-20
Hawaii,HI,2021-03-27,236,2021-03-27
Hawaii,HI,2021-04-03,274,2021-04-03
Hawaii,HI,2021-04-10,322,2021-04-10
Hawaii,HI,2021-04-17,315,2021-04-17
Hawaii,HI,2021-04-24,299,2021-04-24
Hawaii,HI,2021-05-01,306,2021-05-01
Hawaii,HI,2021-05-08,398,2021-05-08
Hawaii,HI,2021-05-15,354,2021-05-15
Hawaii,HI,2021-05-22,292,2021-05-22
Hawaii,HI,2021-05-29,295,2021-05-29
Hawaii,HI,2021-06-05,261,2021-06-05
Hawaii,HI,2021-06-12,212,2021-06-12
Hawaii,HI,2021-06-19,243,2021-06-19
Hawaii,HI,2021-06-26,252,2021-06-26
Hawaii,HI,2021-07-03,293,2021-07-03
Hawaii,HI,2021-07-10,334,2021-07-10
Hawaii,HI,2021-07-17,374,2021-07-17
Hawaii,HI,2021-07-24,469,2021-07-24
Hawaii,HI,2021-07-31,704,2021-07-31
Hawaii,HI,2021-08-07,1150,2021-08-07
Hawaii,HI,2021-08-14,1810,2021-08-14
Hawaii,HI,2021-08-21,2360,2021-08-21
Hawaii,HI,2021-08-28,2874,2021-08-28
Hawaii,HI,2021-09-04,3026,2021-09-04
Hawaii,HI,2021-09-11,2949,2021-09-11
Hawaii,HI,2021-09-18,2504,2021-09-18
Hawaii,HI,2021-09-25,2021,2021-09-25
Hawaii,HI,2021-10-02,1622,2021-10-02
Hawaii,HI,2021-10-09,1184,2021-10-09
Hawaii,HI,2021-10-16,866,2021-10-16
Hawaii,HI,2021-10-23,628,2021-10-23
Hawaii,HI,2021-10-30,611,2021-10-30
Hawaii,HI,2021-11-06,505,2021-11-06
Hawaii,HI,2021-11-13,396,2021-11-13
Hawaii,HI,2021-11-20,365,2021-11-20
Hawaii,HI,2021-11-27,329,2021-11-27
Hawaii,HI,2021-12-04,306,2021-12-04
Hawaii,HI,2021-12-11,316,2021-12-11
Hawaii,HI,2021-12-18,311,2021-12-18
Hawaii,HI,2021-12-25,464,2021-12-25
Hawaii,HI,2022-01-01,925,2022-01-01
Hawaii,HI,2022-01-08,1510,2022-01-08
Hawaii,HI,2022-01-15,2265,2022-01-15
Hawaii,HI,2022-01-22,2622,2022-01-22
Hawaii,HI,2022-01-29,2735,2022-01-29
Hawaii,HI,2022-02-05,2208,2022-02-05
Hawaii,HI,2022-02-12,1554,2022-02-12
Hawaii,HI,2022-02-19,1170,2022-02-19
Hawaii,HI,2022-02-26,902,2022-02-26
Hawaii,HI,2022-03-05,663,2022-03-05
Hawaii,HI,2022-03-12,472,2022-03-12
Hawaii,HI,2022-03-19,385,2022-03-19
Hawaii,HI,2022-03-26,226,2022-03-26
Hawaii,HI,2022-04-02,195,2022-04-02
Hawaii,HI,2022-04-09,219,2022-04-09
Hawaii,HI,2022-04-16,202,2022-04-16
Hawaii,HI,2022-04-23,229,2022-04-23
Hawaii,HI,2022-04-30,366,2022-04-30
Hawaii,HI,2022-05-07,472,2022-05-07
Hawaii,HI,2022-05-14,643,2022-05-14
Hawaii,HI,2022-05-21,870,2022-05-21
Hawaii,HI,2022-05-28,1076,2022-05-28
Hawaii,HI,2022-06-04,1325,2022-06-04
Hawaii,HI,2022-06-11,1396,2022-06-11
Hawaii,HI,2022-06-18,1531,2022-06-18
Hawaii,HI,2022-06-25,1407,2022-06-25
Hawaii,HI,2022-07-02,1443,2022-07-02
Hawaii,HI,2022-07-09,1253,2022-07-09
Hawaii,HI,2022-07-16,1262,2022-07-16
Hawaii,HI,2022-07-23,1280,2022-07-23
Hawaii,HI,2022-07-30,1111,2022-07-30
Hawaii,HI,2022-08-06,1074,2022-08-06
Hawaii,HI,2022-08-13,1074,2022-08-13
Hawaii,HI,2022-08-20,962,2022-08-20
Hawaii,HI,2022-08-27,844,2022-08-27
Hawaii,HI,2022-09-03,777,2022-09-03
Hawaii,HI,2022-09-10,762,2022-09-10
Hawaii,HI,2022-09-17,592,2022-09-17
Hawaii,HI,2022-09-24,518,2022-09-24
Hawaii,HI,2022-10-01,547,2022-10-01
Hawaii,HI,2022-10-08,508,2022-10-08
Hawaii,HI,2022-10-15,392,2022-10-15
Hawaii,HI,2022-10-22,614,2022-10-22
Hawaii,HI,2022-10-29,540,2022-10-29
Hawaii,HI,2022-11-05,627,2022-11-05
Hawaii,HI,2022-11-12,649,2022-11-12
Hawaii,HI,2022-11-19,542,2022-11-19
Hawaii,HI,2022-11-26,424,2022-11-26
Hawaii,HI,2022-12-03,506,2022-12-03
Hawaii,HI,2022-12-10,510,2022-12-10
Hawaii,HI,2022-12-17,432,2022-12-17
Hawaii,HI,2022-12-24,485,2022-12-24
Hawaii,HI,2022-12-31,588,2022-12-31
Hawaii,HI,2023-01-07,626,2023-01-07
Hawaii,HI,2023-01-14,642,2023-01-14
Hawaii,HI,2023-01-21,624,2023-01-21
Hawaii,HI,2023-01-28,511,2023-01-28
Hawaii,HI,2023-02-04,415,2023-02-04
Hawaii,HI,2023-02-11,398,2023-02-11
Hawaii,HI,2023-02-18,402,2023-02-18
Hawaii,HI,2023-02-25,310,2023-02-25
Hawaii,HI,2023-03-04,278,2023-03-04
Hawaii,HI,2023-03-11,345,2023-03-11
Hawaii,HI,2023-03-18,108,2023-03-18
Idaho,ID,2020-03-14,0,2020-03-14
Idaho,ID,2020-03-21,0,2020-03-21
Idaho,ID,2020-03-28,0,2020-03-28
Idaho,ID,2020-04-04,0,2020-04-04
Idaho,ID,2020-04-11,0,2020-04-11
Idaho,ID,2020-04-18,0,2020-04-18
Idaho,ID,2020-04-25,0,2020-04-25
Idaho,ID,2020-05-02,0,2020-05-02
Idaho,ID,2020-05-09,0,2020-05-09
Idaho,ID,2020-05-16,0,2020-05-16
Idaho,ID,2020-05-23,0,2020-05-23
Idaho,ID,2020-05-30,0,2020-05-30
Idaho,ID,2020-06-06,0,2020-06-06
Idaho,ID,2020-06-13,0,2020-06-13
Idaho,ID,2020-06-20,0,2020-06-20
Idaho,ID,2020-06-27,0,2020-06-27
Idaho,ID,2020-07-04,0,2020-07-04
Idaho,ID,2020-07-11,0,2020-07-11
Idaho,ID,2020-07-18,636,2020-07-18
Idaho,ID,2020-07-25,1412,2020-07-25
Idaho,ID,2020-08-01,1449,2020-08-01
Idaho,ID,2020-08-08,1318,2020-08-08
Idaho,ID,2020-08-15,1233,2020-08-15
Idaho,ID,2020-08-22,1191,2020-08-22
Idaho,ID,2020-08-29,1040,2020-08-29
Idaho,ID,2020-09-05,974,2020-09-05
Idaho,ID,2020-09-12,936,2020-09-12
Idaho,ID,2020-09-19,871,2020-09-19
Idaho,ID,2020-09-26,812,2020-09-26
Idaho,ID,2020-10-03,989,2020-10-03
Idaho,ID,2020-10-10,1203,2020-10-10
Idaho,ID,2020-10-17,1394,2020-10-17
Idaho,ID,2020-10-24,1680,2020-10-24
Idaho,ID,2020-10-31,1822,2020-10-31
Idaho,ID,2020-11-07,2150,2020-11-07
Idaho,ID,2020-11-14,2568,2020-11-14
Idaho,ID,2020-11-21,2812,2020-11-21
Idaho,ID,2020-11-28,3063,2020-11-28
Idaho,ID,2020-12-05,3178,2020-12-05
Idaho,ID,2020-12-12,3103,2020-12-12
Idaho,ID,2020-12-19,3142,2020-12-19
Idaho,ID,2020-12-26,2731,2020-12-26
Idaho,ID,2021-01-02,2451,2021-01-02
Idaho,ID,2021-01-09,2510,2021-01-09
Idaho,ID,2021-01-16,2261,2021-01-16
Idaho,ID,2021-01-23,1743,2021-01-23
Idaho,ID,2021-01-30,1571,2021-01-30
Idaho,ID,2021-02-06,1313,2021-02-06
Idaho,ID,2021-02-13,1166,2021-02-13
Idaho,ID,2021-02-20,977,2021-02-20
Idaho,ID,2021-02-27,911,2021-02-27
Idaho,ID,2021-03-06,925,2021-03-06
Idaho,ID,2021-03-13,896,2021-03-13
Idaho,ID,2021-03-20,995,2021-03-20
Idaho,ID,2021-03-27,1016,2021-03-27
Idaho,ID,2021-04-03,1054,2021-04-03
Idaho,ID,2021-04-10,1047,2021-04-10
Idaho,ID,2021-04-17,957,2021-04-17
Idaho,ID,2021-04-24,899,2021-04-24
Idaho,ID,2021-05-01,863,2021-05-01
Idaho,ID,2021-05-08,833,2021-05-08
Idaho,ID,2021-05-15,713,2021-05-15
Idaho,ID,2021-05-22,768,2021-05-22
Idaho,ID,2021-05-29,774,2021-05-29
Idaho,ID,2021-06-05,755,2021-06-05
Idaho,ID,2021-06-12,693,2021-06-12
Idaho,ID,2021-06-19,577,2021-06-19
Idaho,ID,2021-06-26,543,2021-06-26
Idaho,ID,2021-07-03,566,2021-07-03
Idaho,ID,2021-07-10,545,2021-07-10
Idaho,ID,2021-07-17,778,2021-07-17
Idaho,ID,2021-07-24,824,2021-07-24
Idaho,ID,2021-07-31,1095,2021-07-31
Idaho,ID,2021-08-07,1430,2021-08-07
Idaho,ID,2021-08-14,2173,2021-08-14
Idaho,ID,2021-08-21,2800,2021-08-21
Idaho,ID,2021-08-28,3222,2021-08-28
Idaho,ID,2021-09-04,3708,2021-09-04
Idaho,ID,2021-09-11,4239,2021-09-11
Idaho,ID,2021-09-18,4978,2021-09-18
Idaho,ID,2021-09-25,5447,2021-09-25
Idaho,ID,2021-10-02,5349,2021-10-02
Idaho,ID,2021-10-09,4941,2021-10-09
Idaho,ID,2021-10-16,4298,2021-10-16
Idaho,ID,2021-10-23,4001,2021-10-23
Idaho,ID,2021-10-30,3656,2021-10-30
Idaho,ID,2021-11-06,3140,2021-11-06
Idaho,ID,2021-11-13,2577,2021-11-13
Idaho,ID,2021-11-20,2285,2021-11-20
Idaho,ID,2021-11-27,2164,2021-11-27
Idaho,ID,2021-12-04,2027,2021-12-04
Idaho,ID,2021-12-11,2135,2021-12-11
Idaho,ID,2021-12-18,1957,2021-12-18
Idaho,ID,2021-12-25,1605,2021-12-25
Idaho,ID,2022-01-01,1660,2022-01-01
Idaho,ID,2022-01-08,2024,2022-01-08
Idaho,ID,2022-01-15,2576,2022-01-15
Idaho,ID,2022-01-22,3287,2022-01-22
Idaho,ID,2022-01-29,4026,2022-01-29
Idaho,ID,2022-02-05,4097,2022-02-05
Idaho,ID,2022-02-12,3485,2022-02-12
Idaho,ID,2022-02-19,2749,2022-02-19
Idaho,ID,2022-02-26,1973,2022-02-26
Idaho,ID,2022-03-05,1380,2022-03-05
Idaho,ID,2022-03-12,920,2022-03-12
Idaho,ID,2022-03-19,654,2022-03-19
Idaho,ID,2022-03-26,560,2022-03-26
Idaho,ID,2022-04-02,383,2022-04-02
Idaho,ID,2022-04-09,329,2022-04-09
Idaho,ID,2022-04-16,295,2022-04-16
Idaho,ID,2022-04-23,240,2022-04-23
Idaho,ID,2022-04-30,274,2022-04-30
Idaho,ID,2022-05-07,273,2022-05-07
Idaho,ID,2022-05-14,272,2022-05-14
Idaho,ID,2022-05-21,324,2022-05-21
Idaho,ID,2022-05-28,429,2022-05-28
Idaho,ID,2022-06-04,557,2022-06-04
Idaho,ID,2022-06-11,690,2022-06-11
Idaho,ID,2022-06-18,712,2022-06-18
Idaho,ID,2022-06-25,847,2022-06-25
Idaho,ID,2022-07-02,933,2022-07-02
Idaho,ID,2022-07-09,1050,2022-07-09
Idaho,ID,2022-07-16,1219,2022-07-16
Idaho,ID,2022-07-23,1227,2022-07-23
Idaho,ID,2022-07-30,1233,2022-07-30
Idaho,ID,2022-08-06,1203,2022-08-06
Idaho,ID,2022-08-13,994,2022-08-13
Idaho,ID,2022-08-20,878,2022-08-20
Idaho,ID,2022-08-27,970,2022-08-27
Idaho,ID,2022-09-03,905,2022-09-03
Idaho,ID,2022-09-10,820,2022-09-10
Idaho,ID,2022-09-17,816,2022-09-17
Idaho,ID,2022-09-24,720,2022-09-24
Idaho,ID,2022-10-01,751,2022-10-01
Idaho,ID,2022-10-08,714,2022-10-08
Idaho,ID,2022-10-15,702,2022-10-15
Idaho,ID,2022-10-22,696,2022-10-22
Idaho,ID,2022-10-29,710,2022-10-29
Idaho,ID,2022-11-05,575,2022-11-05
Idaho,ID,2022-11-12,543,2022-11-12
Idaho,ID,2022-11-19,624,2022-11-19
Idaho,ID,2022-11-26,721,2022-11-26
Idaho,ID,2022-12-03,884,2022-12-03
Idaho,ID,2022-12-10,947,2022-12-10
Idaho,ID,2022-12-17,901,2022-12-17
Idaho,ID,2022-12-24,871,2022-12-24
Idaho,ID,2022-12-31,848,2022-12-31
Idaho,ID,2023-01-07,805,2023-01-07
Idaho,ID,2023-01-14,768,2023-01-14
Idaho,ID,2023-01-21,641,2023-01-21
Idaho,ID,2023-01-28,506,2023-01-28
Idaho,ID,2023-02-04,476,2023-02-04
Idaho,ID,2023-02-11,446,2023-02-11
Idaho,ID,2023-02-18,555,2023-02-18
Idaho,ID,2023-02-25,607,2023-02-25
Idaho,ID,2023-03-04,594,2023-03-04
Idaho,ID,2023-03-11,645,2023-03-11
Idaho,ID,2023-03-18,168,2023-03-18
Illinois,IL,2020-02-22,0,2020-02-22
Illinois,IL,2020-02-29,0,2020-02-29
Illinois,IL,2020-03-07,0,2020-03-07
Illinois,IL,2020-03-14,0,2020-03-14
Illinois,IL,2020-03-21,0,2020-03-21
Illinois,IL,2020-03-28,0,2020-03-28
Illinois,IL,2020-04-04,0,2020-04-04
Illinois,IL,2020-04-11,0,2020-04-11
Illinois,IL,2020-04-18,0,2020-04-18
Illinois,IL,2020-04-25,0,2020-04-25
Illinois,IL,2020-05-02,0,2020-05-02
Illinois,IL,2020-05-09,0,2020-05-09
Illinois,IL,2020-05-16,0,2020-05-16
Illinois,IL,2020-05-23,0,2020-05-23
Illinois,IL,2020-05-30,0,2020-05-30
Illinois,IL,2020-06-06,0,2020-06-06
Illinois,IL,2020-06-13,0,2020-06-13
Illinois,IL,2020-06-20,0,2020-06-20
Illinois,IL,2020-06-27,0,2020-06-27
Illinois,IL,2020-07-04,0,2020-07-04
Illinois,IL,2020-07-11,0,2020-07-11
Illinois,IL,2020-07-18,2654,2020-07-18
Illinois,IL,2020-07-25,5236,2020-07-25
Illinois,IL,2020-08-01,5366,2020-08-01
Illinois,IL,2020-08-08,5742,2020-08-08
Illinois,IL,2020-08-15,5740,2020-08-15
Illinois,IL,2020-08-22,5746,2020-08-22
Illinois,IL,2020-08-29,6050,2020-08-29
Illinois,IL,2020-09-05,6437,2020-09-05
Illinois,IL,2020-09-12,6797,2020-09-12
Illinois,IL,2020-09-19,6035,2020-09-19
Illinois,IL,2020-09-26,6325,2020-09-26
Illinois,IL,2020-10-03,7046,2020-10-03
Illinois,IL,2020-10-10,8019,2020-10-10
Illinois,IL,2020-10-17,9823,2020-10-17
Illinois,IL,2020-10-24,12857,2020-10-24
Illinois,IL,2020-10-31,16468,2020-10-31
Illinois,IL,2020-11-07,22111,2020-11-07
Illinois,IL,2020-11-14,29900,2020-11-14
Illinois,IL,2020-11-21,35508,2020-11-21
Illinois,IL,2020-11-28,35897,2020-11-28
Illinois,IL,2020-12-05,34604,2020-12-05
Illinois,IL,2020-12-12,32210,2020-12-12
Illinois,IL,2020-12-19,29956,2020-12-19
Illinois,IL,2020-12-26,27348,2020-12-26
Illinois,IL,2021-01-02,25363,2021-01-02
Illinois,IL,2021-01-09,23586,2021-01-09
Illinois,IL,2021-01-16,21450,2021-01-16
Illinois,IL,2021-01-23,19542,2021-01-23
Illinois,IL,2021-01-30,16795,2021-01-30
Illinois,IL,2021-02-06,14169,2021-02-06
Illinois,IL,2021-02-13,11935,2021-02-13
Illinois,IL,2021-02-20,9803,2021-02-20
Illinois,IL,2021-02-27,8415,2021-02-27
Illinois,IL,2021-03-06,7019,2021-03-06
Illinois,IL,2021-03-13,6472,2021-03-13
Illinois,IL,2021-03-20,6565,2021-03-20
Illinois,IL,2021-03-27,7525,2021-03-27
Illinois,IL,2021-04-03,8727,2021-04-03
Illinois,IL,2021-04-10,10625,2021-04-10
Illinois,IL,2021-04-17,12831,2021-04-17
Illinois,IL,2021-04-24,13482,2021-04-24
Illinois,IL,2021-05-01,12940,2021-05-01
Illinois,IL,2021-05-08,12599,2021-05-08
Illinois,IL,2021-05-15,10972,2021-05-15
Illinois,IL,2021-05-22,9063,2021-05-22
Illinois,IL,2021-05-29,7663,2021-05-29
Illinois,IL,2021-06-05,5665,2021-06-05
Illinois,IL,2021-06-12,4175,2021-06-12
Illinois,IL,2021-06-19,2940,2021-06-19
Illinois,IL,2021-06-26,2349,2021-06-26
Illinois,IL,2021-07-03,2203,2021-07-03
Illinois,IL,2021-07-10,2092,2021-07-10
Illinois,IL,2021-07-17,2562,2021-07-17
Illinois,IL,2021-07-24,3523,2021-07-24
Illinois,IL,2021-07-31,5026,2021-07-31
Illinois,IL,2021-08-07,7094,2021-08-07
Illinois,IL,2021-08-14,9938,2021-08-14
Illinois,IL,2021-08-21,12335,2021-08-21
Illinois,IL,2021-08-28,13693,2021-08-28
Illinois,IL,2021-09-04,14218,2021-09-04
Illinois,IL,2021-09-11,14765,2021-09-11
Illinois,IL,2021-09-18,13600,2021-09-18
Illinois,IL,2021-09-25,12428,2021-09-25
Illinois,IL,2021-10-02,11198,2021-10-02
Illinois,IL,2021-10-09,10326,2021-10-09
Illinois,IL,2021-10-16,9521,2021-10-16
Illinois,IL,2021-10-23,8089,2021-10-23
Illinois,IL,2021-10-30,7319,2021-10-30
Illinois,IL,2021-11-06,7659,2021-11-06
Illinois,IL,2021-11-13,8867,2021-11-13
Illinois,IL,2021-11-20,10348,2021-11-20
Illinois,IL,2021-11-27,12563,2021-11-27
Illinois,IL,2021-12-04,15990,2021-12-04
Illinois,IL,2021-12-11,20173,2021-12-11
Illinois,IL,2021-12-18,23568,2021-12-18
Illinois,IL,2021-12-25,26773,2021-12-25
Illinois,IL,2022-01-01,35665,2022-01-01
Illinois,IL,2022-01-08,45212,2022-01-08
Illinois,IL,2022-01-15,48576,2022-01-15
Illinois,IL,2022-01-22,42458,2022-01-22
Illinois,IL,2022-01-29,32301,2022-01-29
Illinois,IL,2022-02-05,23054,2022-02-05
Illinois,IL,2022-02-12,16299,2022-02-12
Illinois,IL,2022-02-19,11048,2022-02-19
Illinois,IL,2022-02-26,7744,2022-02-26
Illinois,IL,2022-03-05,5713,2022-03-05
Illinois,IL,2022-03-12,4394,2022-03-12
Illinois,IL,2022-03-19,3337,2022-03-19
Illinois,IL,2022-03-26,2808,2022-03-26
Illinois,IL,2022-04-02,2632,2022-04-02
Illinois,IL,2022-04-09,2758,2022-04-09
Illinois,IL,2022-04-16,2440,2022-04-16
Illinois,IL,2022-04-23,2710,2022-04-23
Illinois,IL,2022-04-30,3645,2022-04-30
Illinois,IL,2022-05-07,4091,2022-05-07
Illinois,IL,2022-05-14,4935,2022-05-14
Illinois,IL,2022-05-21,6155,2022-05-21
Illinois,IL,2022-05-28,6913,2022-05-28
Illinois,IL,2022-06-04,7545,2022-06-04
Illinois,IL,2022-06-11,7246,2022-06-11
Illinois,IL,2022-06-18,6948,2022-06-18
Illinois,IL,2022-06-25,6845,2022-06-25
Illinois,IL,2022-07-02,7032,2022-07-02
Illinois,IL,2022-07-09,7804,2022-07-09
Illinois,IL,2022-07-16,8499,2022-07-16
Illinois,IL,2022-07-23,9131,2022-07-23
Illinois,IL,2022-07-30,9169,2022-07-30
Illinois,IL,2022-08-06,9051,2022-08-06
Illinois,IL,2022-08-13,9170,2022-08-13
Illinois,IL,2022-08-20,8906,2022-08-20
Illinois,IL,2022-08-27,8409,2022-08-27
Illinois,IL,2022-09-03,7880,2022-09-03
Illinois,IL,2022-09-10,7822,2022-09-10
Illinois,IL,2022-09-17,7409,2022-09-17
Illinois,IL,2022-09-24,6719,2022-09-24
Illinois,IL,2022-10-01,5684,2022-10-01
Illinois,IL,2022-10-08,5574,2022-10-08
Illinois,IL,2022-10-15,5764,2022-10-15
Illinois,IL,2022-10-22,6050,2022-10-22
Illinois,IL,2022-10-29,6647,2022-10-29
Illinois,IL,2022-11-05,6762,2022-11-05
Illinois,IL,2022-11-12,6829,2022-11-12
Illinois,IL,2022-11-19,6845,2022-11-19
Illinois,IL,2022-11-26,7197,2022-11-26
Illinois,IL,2022-12-03,9081,2022-12-03
Illinois,IL,2022-12-10,9905,2022-12-10
Illinois,IL,2022-12-17,10709,2022-12-17
Illinois,IL,2022-12-24,11016,2022-12-24
Illinois,IL,2022-12-31,11132,2022-12-31
Illinois,IL,2023-01-07,11266,2023-01-07
Illinois,IL,2023-01-14,9607,2023-01-14
Illinois,IL,2023-01-21,7927,2023-01-21
Illinois,IL,2023-01-28,6596,2023-01-28
Illinois,IL,2023-02-04,5690,2023-02-04
Illinois,IL,2023-02-11,5345,2023-02-11
Illinois,IL,2023-02-18,5792,2023-02-18
Illinois,IL,2023-02-25,5892,2023-02-25
Illinois,IL,2023-03-04,5630,2023-03-04
Illinois,IL,2023-03-11,5204,2023-03-11
Illinois,IL,2023-03-18,1288,2023-03-18
Indiana,IN,2020-01-04,0,2020-01-04
Indiana,IN,2020-01-11,0,2020-01-11
Indiana,IN,2020-01-18,0,2020-01-18
Indiana,IN,2020-01-25,0,2020-01-25
Indiana,IN,2020-02-01,0,2020-02-01
Indiana,IN,2020-02-08,0,2020-02-08
Indiana,IN,2020-02-15,0,2020-02-15
Indiana,IN,2020-02-22,0,2020-02-22
Indiana,IN,2020-02-29,0,2020-02-29
Indiana,IN,2020-03-07,0,2020-03-07
Indiana,IN,2020-03-14,0,2020-03-14
Indiana,IN,2020-03-21,0,2020-03-21
Indiana,IN,2020-03-28,0,2020-03-28
Indiana,IN,2020-04-04,0,2020-04-04
Indiana,IN,2020-04-11,0,2020-04-11
Indiana,IN,2020-04-18,0,2020-04-18
Indiana,IN,2020-04-25,0,2020-04-25
Indiana,IN,2020-05-02,0,2020-05-02
Indiana,IN,2020-05-09,0,2020-05-09
Indiana,IN,2020-05-16,0,2020-05-16
Indiana,IN,2020-05-23,0,2020-05-23
Indiana,IN,2020-05-30,0,2020-05-30
Indiana,IN,2020-06-06,0,2020-06-06
Indiana,IN,2020-06-13,0,2020-06-13
Indiana,IN,2020-06-20,0,2020-06-20
Indiana,IN,2020-06-27,0,2020-06-27
Indiana,IN,2020-07-04,0,2020-07-04
Indiana,IN,2020-07-11,0,2020-07-11
Indiana,IN,2020-07-18,1660,2020-07-18
Indiana,IN,2020-07-25,3183,2020-07-25
Indiana,IN,2020-08-01,3031,2020-08-01
Indiana,IN,2020-08-08,3406,2020-08-08
Indiana,IN,2020-08-15,3666,2020-08-15
Indiana,IN,2020-08-22,3638,2020-08-22
Indiana,IN,2020-08-29,3641,2020-08-29
Indiana,IN,2020-09-05,3534,2020-09-05
Indiana,IN,2020-09-12,3386,2020-09-12
Indiana,IN,2020-09-19,3317,2020-09-19
Indiana,IN,2020-09-26,3643,2020-09-26
Indiana,IN,2020-10-03,4222,2020-10-03
Indiana,IN,2020-10-10,5330,2020-10-10
Indiana,IN,2020-10-17,6672,2020-10-17
Indiana,IN,2020-10-24,7810,2020-10-24
Indiana,IN,2020-10-31,9037,2020-10-31
Indiana,IN,2020-11-07,10725,2020-11-07
Indiana,IN,2020-11-14,14266,2020-11-14
Indiana,IN,2020-11-21,17707,2020-11-21
Indiana,IN,2020-11-28,19222,2020-11-28
Indiana,IN,2020-12-05,20498,2020-12-05
Indiana,IN,2020-12-12,19803,2020-12-12
Indiana,IN,2020-12-19,19101,2020-12-19
Indiana,IN,2020-12-26,18292,2020-12-26
Indiana,IN,2021-01-02,17592,2021-01-02
Indiana,IN,2021-01-09,17289,2021-01-09
Indiana,IN,2021-01-16,15362,2021-01-16
Indiana,IN,2021-01-23,13294,2021-01-23
Indiana,IN,2021-01-30,10758,2021-01-30
Indiana,IN,2021-02-06,8556,2021-02-06
Indiana,IN,2021-02-13,6502,2021-02-13
Indiana,IN,2021-02-20,5195,2021-02-20
Indiana,IN,2021-02-27,4066,2021-02-27
Indiana,IN,2021-03-06,3411,2021-03-06
Indiana,IN,2021-03-13,2661,2021-03-13
Indiana,IN,2021-03-20,2679,2021-03-20
Indiana,IN,2021-03-27,2885,2021-03-27
