state,USPS,datew,incidD,date,out,no,back_date
Alabama,AL,2/4/2023,12,2/4/2023,0,,
Alabama,AL,2/11/2023,10,2/11/2023,0,,
Alabama,AL,2/18/2023,7,2/18/2023,0,,
Alabama,AL,2/25/2023,33,2/25/2023,0,,
Alabama,AL,3/4/2023,69,3/4/2023,0,,
Alabama,AL,3/11/2023,31,3/11/2023,0,,
Alaska,AK,1/25/2020,0,1/25/2020,0,,
Alaska,AK,2/1/2020,0,2/1/2020,0,,
Alaska,AK,2/8/2020,0,2/8/2020,0,,
Alaska,AK,2/15/2020,0,2/15/2020,0,,
Alaska,AK,2/22/2020,0,2/22/2020,0,,
Alaska,AK,2/29/2020,0,2/29/2020,0,,
Alaska,AK,3/7/2020,0,3/7/2020,0,,
Alaska,AK,3/14/2020,0,3/14/2020,0,,
Alaska,AK,3/21/2020,0,3/21/2020,0,,
Alaska,AK,3/28/2020,2,3/28/2020,0,,
Alaska,AK,4/4/2020,3,4/4/2020,0,,
Alaska,AK,4/11/2020,3,4/11/2020,0,,
Alaska,AK,4/18/2020,1,4/18/2020,0,,
Alaska,AK,4/25/2020,0,4/25/2020,0,,
Alaska,AK,5/2/2020,0,5/2/2020,0,,
Alaska,AK,5/9/2020,1,5/9/2020,0,,
Alaska,AK,5/16/2020,0,5/16/2020,0,,
Alaska,AK,5/23/2020,0,5/23/2020,0,,
Alaska,AK,5/30/2020,0,5/30/2020,0,,
Alaska,AK,6/6/2020,0,6/6/2020,0,,
Alaska,AK,6/13/2020,2,6/13/2020,0,,
Alaska,AK,6/20/2020,0,6/20/2020,0,,
Alaska,AK,6/27/2020,2,6/27/2020,0,,
Alaska,AK,7/4/2020,2,7/4/2020,0,,
Alaska,AK,7/11/2020,1,7/11/2020,0,,
Alaska,AK,7/18/2020,1,7/18/2020,0,,
Alaska,AK,7/25/2020,2,7/25/2020,0,,
Alaska,AK,8/1/2020,4,8/1/2020,0,,
Alaska,AK,8/8/2020,2,8/8/2020,0,,
Alaska,AK,8/15/2020,2,8/15/2020,0,,
Alaska,AK,8/22/2020,3,8/22/2020,0,,
Alaska,AK,8/29/2020,6,8/29/2020,0,,
Alaska,AK,9/5/2020,5,9/5/2020,0,,
Alaska,AK,9/12/2020,2,9/12/2020,0,,
Alaska,AK,9/19/2020,1,9/19/2020,0,,
Alaska,AK,9/26/2020,7,9/26/2020,0,,
Alaska,AK,10/3/2020,7,10/3/2020,0,,
Alaska,AK,10/10/2020,2,10/10/2020,0,,
Alaska,AK,10/17/2020,6,10/17/2020,0,,
Alaska,AK,10/24/2020,1,10/24/2020,0,,
Alaska,AK,10/31/2020,14,10/31/2020,0,,
Alaska,AK,11/7/2020,4,11/7/2020,0,,
Alaska,AK,11/14/2020,14,11/14/2020,0,,
Alaska,AK,11/21/2020,4,11/21/2020,0,,
Alaska,AK,11/28/2020,18,11/28/2020,0,,
Alaska,AK,12/5/2020,21,12/5/2020,0,,
Alaska,AK,12/12/2020,33,12/12/2020,0,,
Alaska,AK,12/19/2020,8,12/19/2020,0,,
Alaska,AK,12/26/2020,16,12/26/2020,0,,
Alaska,AK,1/2/2021,15,1/2/2021,0,,
Alaska,AK,1/9/2021,9,1/9/2021,0,,
Alaska,AK,1/16/2021,5,1/16/2021,0,,
Alaska,AK,1/23/2021,30,1/23/2021,0,,
Alaska,AK,1/30/2021,3,1/30/2021,0,,
Alaska,AK,2/6/2021,17,2/6/2021,0,,
Alaska,AK,2/13/2021,3,2/13/2021,0,,
Alaska,AK,2/20/2021,7,2/20/2021,0,,
Alaska,AK,2/27/2021,1,2/27/2021,0,,
Alaska,AK,3/6/2021,15,3/6/2021,0,,
Alaska,AK,3/13/2021,1,3/13/2021,0,,
Alaska,AK,3/20/2021,4,3/20/2021,0,,
Alaska,AK,3/27/2021,3,3/27/2021,0,,
Alaska,AK,4/3/2021,0,4/3/2021,0,,
Alaska,AK,4/10/2021,0,4/10/2021,0,,
Alaska,AK,4/17/2021,21,4/17/2021,1,20,
Alaska,AK,4/24/2021,0,4/24/2021,0,,
Alaska,AK,5/1/2021,13,5/1/2021,1,,
Alaska,AK,5/8/2021,2,5/8/2021,0,,
Alaska,AK,5/15/2021,4,5/15/2021,0,,
Alaska,AK,5/22/2021,16,5/22/2021,1,10,
Alaska,AK,5/29/2021,0,5/29/2021,0,,
Alaska,AK,6/5/2021,0,6/5/2021,0,,
Alaska,AK,6/12/2021,4,6/12/2021,1,4,
Alaska,AK,6/19/2021,0,6/19/2021,0,,
Alaska,AK,6/26/2021,1,6/26/2021,0,,
Alaska,AK,7/3/2021,3,7/3/2021,0,,
Alaska,AK,7/10/2021,2,7/10/2021,0,,
Alaska,AK,7/17/2021,2,7/17/2021,0,,
Alaska,AK,7/24/2021,3,7/24/2021,0,,
Alaska,AK,7/31/2021,5,7/31/2021,0,,
Alaska,AK,8/7/2021,9,8/7/2021,0,,
Alaska,AK,8/14/2021,5,8/14/2021,0,,
Alaska,AK,8/21/2021,11,8/21/2021,0,,
Alaska,AK,8/28/2021,24,8/28/2021,0,,
Alaska,AK,9/4/2021,10,9/4/2021,0,,
Alaska,AK,9/11/2021,10,9/11/2021,0,,
Alaska,AK,9/18/2021,11,9/18/2021,0,,
Alaska,AK,9/25/2021,63,9/25/2021,0,,
Alaska,AK,10/2/2021,46,10/2/2021,0,,
Alaska,AK,10/9/2021,14,10/9/2021,0,,
Alaska,AK,10/16/2021,25,10/16/2021,0,,
Alaska,AK,10/23/2021,81,10/23/2021,0,,
Alaska,AK,10/30/2021,27,10/30/2021,0,,
Alaska,AK,11/6/2021,16,11/6/2021,0,,
Alaska,AK,11/13/2021,90,11/13/2021,0,,
Alaska,AK,11/20/2021,31,11/20/2021,0,,
Alaska,AK,11/27/2021,15,11/27/2021,0,,
Alaska,AK,12/4/2021,6,12/4/2021,0,,
Alaska,AK,12/11/2021,3,12/11/2021,0,,
Alaska,AK,12/18/2021,60,12/18/2021,0,,
Alaska,AK,12/25/2021,30,12/25/2021,0,,
Alaska,AK,1/1/2022,2,1/1/2022,0,,
Alaska,AK,1/8/2022,2,1/8/2022,0,,
Alaska,AK,1/15/2022,7,1/15/2022,0,,
Alaska,AK,1/22/2022,64,1/22/2022,0,,
Alaska,AK,1/29/2022,34,1/29/2022,0,,
Alaska,AK,2/5/2022,8,2/5/2022,0,,
Alaska,AK,2/12/2022,21,2/12/2022,0,,
Alaska,AK,2/19/2022,27,2/19/2022,0,,
Alaska,AK,2/26/2022,22,2/26/2022,0,,
Alaska,AK,3/5/2022,28,3/5/2022,0,,
Alaska,AK,3/12/2022,10,3/12/2022,0,,
Alaska,AK,3/19/2022,1,3/19/2022,0,,
Alaska,AK,3/26/2022,20,3/26/2022,0,,
Alaska,AK,4/2/2022,6,4/2/2022,0,,
Alaska,AK,4/9/2022,0,4/9/2022,0,,
Alaska,AK,4/16/2022,7,4/16/2022,0,,
Alaska,AK,4/23/2022,13,4/23/2022,0,,
Alaska,AK,4/30/2022,4,4/30/2022,0,,
Alaska,AK,5/7/2022,1,5/7/2022,0,,
Alaska,AK,5/14/2022,15,5/14/2022,0,,
Alaska,AK,5/21/2022,18,5/21/2022,0,,
Alaska,AK,5/28/2022,1,5/28/2022,0,,
Alaska,AK,6/4/2022,0,6/4/2022,0,,
Alaska,AK,6/11/2022,0,6/11/2022,0,,
Alaska,AK,6/18/2022,0,6/18/2022,0,,
Alaska,AK,6/25/2022,0,6/25/2022,0,,
Alaska,AK,7/2/2022,0,7/2/2022,0,,
Alaska,AK,7/9/2022,0,7/9/2022,0,,
Alaska,AK,7/16/2022,24,7/16/2022,0,,
Alaska,AK,7/23/2022,0,7/23/2022,0,,
Alaska,AK,7/30/2022,0,7/30/2022,0,,
Alaska,AK,8/6/2022,0,8/6/2022,0,,
Alaska,AK,8/13/2022,21,8/13/2022,0,,
Alaska,AK,8/20/2022,0,8/20/2022,0,,
Alaska,AK,8/27/2022,8,8/27/2022,0,,
Alaska,AK,9/3/2022,0,9/3/2022,0,,
Alaska,AK,9/10/2022,0,9/10/2022,0,,
Alaska,AK,9/17/2022,26,9/17/2022,0,,
Alaska,AK,9/24/2022,0,9/24/2022,0,,
Alaska,AK,10/1/2022,0,10/1/2022,0,,
Alaska,AK,10/8/2022,29,10/8/2022,0,,
Alaska,AK,10/15/2022,0,10/15/2022,0,,
Alaska,AK,10/22/2022,0,10/22/2022,0,,
Alaska,AK,10/29/2022,20,10/29/2022,0,,
Alaska,AK,11/5/2022,0,11/5/2022,0,,
Alaska,AK,11/12/2022,0,11/12/2022,0,,
Alaska,AK,11/19/2022,23,11/19/2022,0,,
Alaska,AK,11/26/2022,0,11/26/2022,0,,
Alaska,AK,12/3/2022,0,12/3/2022,0,,
Alaska,AK,12/10/2022,0,12/10/2022,0,,
Alaska,AK,12/17/2022,0,12/17/2022,0,,
Alaska,AK,12/24/2022,19,12/24/2022,0,,
Alaska,AK,12/31/2022,0,12/31/2022,0,,
Alaska,AK,1/7/2023,0,1/7/2023,0,,
Alaska,AK,1/14/2023,0,1/14/2023,0,,
Alaska,AK,1/21/2023,0,1/21/2023,0,,
Alaska,AK,1/28/2023,18,1/28/2023,0,,
Alaska,AK,2/4/2023,0,2/4/2023,0,,
Alaska,AK,2/11/2023,0,2/11/2023,0,,
Alaska,AK,2/18/2023,0,2/18/2023,0,,
Alaska,AK,2/25/2023,13,2/25/2023,0,,
Alaska,AK,3/4/2023,0,3/4/2023,0,,
Alaska,AK,3/11/2023,0,3/11/2023,0,,
Arizona,AZ,1/25/2020,0,1/25/2020,0,,
Arizona,AZ,2/1/2020,0,2/1/2020,0,,
Arizona,AZ,2/8/2020,0,2/8/2020,0,,
Arizona,AZ,2/15/2020,0,2/15/2020,0,,
Arizona,AZ,2/22/2020,0,2/22/2020,0,,
Arizona,AZ,2/29/2020,0,2/29/2020,0,,
Arizona,AZ,3/7/2020,0,3/7/2020,0,,
Arizona,AZ,3/14/2020,0,3/14/2020,0,,
Arizona,AZ,3/21/2020,1,3/21/2020,0,,
Arizona,AZ,3/28/2020,14,3/28/2020,0,,
Arizona,AZ,4/4/2020,37,4/4/2020,0,,
Arizona,AZ,4/11/2020,65,4/11/2020,0,,
Arizona,AZ,4/18/2020,69,4/18/2020,0,,
Arizona,AZ,4/25/2020,93,4/25/2020,0,,
Arizona,AZ,5/2/2020,57,5/2/2020,0,,
Arizona,AZ,5/9/2020,202,5/9/2020,0,,
Arizona,AZ,5/16/2020,147,5/16/2020,0,,
Arizona,AZ,5/23/2020,122,5/23/2020,0,,
Arizona,AZ,5/30/2020,103,5/30/2020,0,,
Arizona,AZ,6/6/2020,139,6/6/2020,0,,
Arizona,AZ,6/13/2020,146,6/13/2020,0,,
Arizona,AZ,6/20/2020,157,6/20/2020,0,,
Arizona,AZ,6/27/2020,234,6/27/2020,0,,
Arizona,AZ,7/4/2020,237,7/4/2020,0,,
Arizona,AZ,7/11/2020,334,7/11/2020,0,,
